YIPF2	MT-ATP6
YLPM1	MT-ATP8
YWHAQ	MT-ND4L
Z84479.1	MT-ND2
ZBTB24	MT-ATP8
ZCCHC7	MT-ATP8
ZDHHC24	MT-ATP8
ZDHHC24	MT-ATP6
ZFP64	MT-ND4L
ZFR	MT-ATP8
ZMAT2	MT-ND2
ZMYM2	MT-ATP8
ZMYM6	MT-ATP8
ZNF207	MT-ATP8
ZNF263	MT-ND1
ZNF32	MT-ND5
ZNF326	MT-ND2
ZNF587	MT-ND5
ZNF785	MT-ND3
ZNF785	MT-ND5
ZNHIT6	MT-ND2
